time,êÖà ÅimÅj
2025-09-17 04:10:00,0.52
2025-09-17 04:20:00,0.52
2025-09-17 04:30:00,0.52
2025-09-17 04:40:00,0.52
2025-09-17 04:50:00,0.52
2025-09-17 05:00:00,0.53
2025-09-17 05:10:00,0.53
2025-09-17 05:20:00,0.52
2025-09-17 05:30:00,0.53
2025-09-17 05:40:00,0.52
2025-09-17 05:50:00,0.52
2025-09-17 06:00:00,0.53
2025-09-17 06:10:00,0.52
2025-09-17 06:20:00,0.53
2025-09-17 06:30:00,0.52
2025-09-17 06:40:00,0.53
2025-09-17 06:50:00,0.53
2025-09-17 07:00:00,0.53
2025-09-17 07:10:00,0.52
2025-09-17 07:20:00,0.53
2025-09-17 07:30:00,0.52
2025-09-17 07:40:00,0.52
2025-09-17 07:50:00,0.51
2025-09-17 08:00:00,0.5
2025-09-17 08:10:00,0.5
2025-09-17 08:20:00,0.51
2025-09-17 08:30:00,0.51
2025-09-17 08:40:00,0.51
2025-09-17 08:50:00,0.51
2025-09-17 09:00:00,0.5
2025-09-17 09:10:00,0.5
2025-09-17 09:20:00,0.51
2025-09-17 09:30:00,0.5
2025-09-17 09:40:00,0.5
2025-09-17 09:50:00,0.5
2025-09-17 10:00:00,0.5
2025-09-17 10:10:00,0.5
2025-09-17 10:20:00,0.5
2025-09-17 10:30:00,0.5
2025-09-17 10:40:00,0.5
2025-09-17 10:50:00,0.5
2025-09-17 11:00:00,0.5
2025-09-17 11:10:00,0.5
2025-09-17 11:20:00,0.5
2025-09-17 11:30:00,0.51
2025-09-17 11:40:00,0.5
2025-09-17 11:50:00,0.51
2025-09-17 12:00:00,0.51
2025-09-17 12:10:00,0.5
