DateTime,Hs,Ts,MP_Dynamic x,MP_Dynamic y,MP_Dynamic z,MP_Dynamic Rx,MP_Dynamic Ry,MP_Dynamic Rz,vessel_Dynamic x,vessel_Dynamic y,vessel_Dynamic z,vessel_Dynamic Rx,vessel_Dynamic Ry,vessel_Dynamic Rz
2009-01-01 00:00:00,2.69,8.6,1.151,0.0,0.491,0.0,1.496,0.0,0.365,0.0,0.355,0.0,0.238,0.0
2009-01-01 01:00:00,2.62,8.6,1.121,0.0,0.475,0.0,1.452,0.0,0.35,0.0,0.34,0.0,0.236,0.0
2009-01-01 02:00:00,2.58,8.5,1.084,0.0,0.458,0.0,1.4,0.0,0.336,0.0,0.326,0.0,0.232,0.0
2009-01-01 03:00:00,2.53,8.5,1.063,0.0,0.447,0.0,1.369,0.0,0.326,0.0,0.316,0.0,0.231,0.0
2009-01-01 04:00:00,2.52,8.5,1.058,0.0,0.444,0.0,1.362,0.0,0.324,0.0,0.314,0.0,0.23,0.0
2009-01-01 05:00:00,2.52,8.5,1.058,0.0,0.444,0.0,1.362,0.0,0.324,0.0,0.314,0.0,0.23,0.0
2009-01-01 06:00:00,2.51,8.5,1.054,0.0,0.442,0.0,1.356,0.0,0.322,0.0,0.312,0.0,0.23,0.0
2009-01-01 07:00:00,2.54,8.5,1.067,0.0,0.449,0.0,1.375,0.0,0.328,0.0,0.318,0.0,0.231,0.0
2009-01-01 08:00:00,2.57,8.5,1.079,0.0,0.455,0.0,1.393,0.0,0.334,0.0,0.324,0.0,0.231,0.0
2009-01-01 09:00:00,2.63,8.5,1.105,0.0,0.469,0.0,1.431,0.0,0.346,0.0,0.336,0.0,0.233,0.0
2009-01-01 10:00:00,2.73,8.6,1.168,0.0,0.5,0.0,1.521,0.0,0.373,0.0,0.363,0.0,0.239,0.0
2009-01-01 11:00:00,2.57,8.7,1.121,0.0,0.472,0.0,1.447,0.0,0.347,0.0,0.337,0.0,0.239,0.0
2009-01-01 12:00:00,2.63,8.8,1.168,0.0,0.494,0.0,1.513,0.0,0.366,0.0,0.356,0.0,0.245,0.0
2009-01-01 13:00:00,2.63,8.9,1.189,0.0,0.503,0.0,1.541,0.0,0.372,0.0,0.362,0.0,0.249,0.0
2009-01-01 14:00:00,2.63,8.8,1.168,0.0,0.494,0.0,1.513,0.0,0.366,0.0,0.356,0.0,0.245,0.0
2009-01-01 15:00:00,2.66,8.8,1.181,0.0,0.501,0.0,1.533,0.0,0.372,0.0,0.362,0.0,0.245,0.0
2009-01-01 16:00:00,2.69,8.9,1.216,0.0,0.517,0.0,1.581,0.0,0.385,0.0,0.375,0.0,0.25,0.0
2009-01-01 17:00:00,2.69,8.9,1.216,0.0,0.517,0.0,1.581,0.0,0.385,0.0,0.375,0.0,0.25,0.0
2009-01-01 18:00:00,2.69,8.9,1.216,0.0,0.517,0.0,1.581,0.0,0.385,0.0,0.375,0.0,0.25,0.0
2009-01-01 19:00:00,2.73,8.9,1.234,0.0,0.526,0.0,1.608,0.0,0.394,0.0,0.384,0.0,0.251,0.0
2009-01-01 20:00:00,2.87,9.0,1.32,0.0,0.569,0.0,1.732,0.0,0.431,0.0,0.421,0.0,0.257,0.0
2009-01-01 21:00:00,3.05,9.2,1.452,0.0,0.632,0.0,1.919,0.0,0.487,0.0,0.477,0.0,0.269,0.0
2009-01-01 22:00:00,3.18,9.4,1.565,0.0,0.686,0.0,2.079,0.0,0.534,0.0,0.524,0.0,0.28,0.0
2009-01-01 23:00:00,3.11,9.5,1.555,0.0,0.679,0.0,2.061,0.0,0.526,0.0,0.516,0.0,0.282,0.0
2009-01-02 00:00:00,3.0,9.2,1.428,0.0,0.62,0.0,1.884,0.0,0.476,0.0,0.466,0.0,0.268,0.0
2009-01-02 01:00:00,2.98,9.2,1.418,0.0,0.615,0.0,1.87,0.0,0.471,0.0,0.461,0.0,0.268,0.0
2009-01-02 02:00:00,3.02,9.1,1.413,0.0,0.615,0.0,1.866,0.0,0.472,0.0,0.462,0.0,0.264,0.0
2009-01-02 03:00:00,3.03,9.1,1.418,0.0,0.617,0.0,1.873,0.0,0.475,0.0,0.465,0.0,0.265,0.0
2009-01-02 04:00:00,2.99,9.1,1.399,0.0,0.608,0.0,1.845,0.0,0.466,0.0,0.456,0.0,0.264,0.0
2009-01-02 05:00:00,2.98,9.1,1.395,0.0,0.605,0.0,1.838,0.0,0.464,0.0,0.454,0.0,0.264,0.0
2009-01-02 06:00:00,2.95,9.1,1.381,0.0,0.598,0.0,1.817,0.0,0.457,0.0,0.447,0.0,0.263,0.0
2009-01-02 07:00:00,2.91,9.0,1.339,0.0,0.578,0.0,1.759,0.0,0.44,0.0,0.43,0.0,0.258,0.0
2009-01-02 08:00:00,2.93,9.1,1.371,0.0,0.593,0.0,1.804,0.0,0.452,0.0,0.442,0.0,0.263,0.0
2009-01-02 09:00:00,2.87,9.0,1.32,0.0,0.569,0.0,1.732,0.0,0.431,0.0,0.421,0.0,0.257,0.0
2009-01-02 10:00:00,2.79,9.0,1.283,0.0,0.55,0.0,1.677,0.0,0.414,0.0,0.404,0.0,0.256,0.0
2009-01-02 11:00:00,2.76,9.0,1.27,0.0,0.542,0.0,1.657,0.0,0.407,0.0,0.397,0.0,0.255,0.0
2009-01-02 12:00:00,2.71,8.9,1.225,0.0,0.522,0.0,1.594,0.0,0.389,0.0,0.379,0.0,0.25,0.0
2009-01-02 13:00:00,2.7,8.9,1.22,0.0,0.519,0.0,1.588,0.0,0.387,0.0,0.377,0.0,0.25,0.0
2009-01-02 14:00:00,2.68,8.8,1.19,0.0,0.506,0.0,1.546,0.0,0.376,0.0,0.366,0.0,0.246,0.0
2009-01-02 15:00:00,2.7,8.8,1.199,0.0,0.51,0.0,1.559,0.0,0.38,0.0,0.37,0.0,0.246,0.0
2009-01-02 16:00:00,2.68,8.8,1.19,0.0,0.506,0.0,1.546,0.0,0.376,0.0,0.366,0.0,0.246,0.0
2009-01-02 17:00:00,2.64,8.8,1.172,0.0,0.496,0.0,1.52,0.0,0.368,0.0,0.358,0.0,0.245,0.0
2009-01-02 18:00:00,2.59,8.8,1.15,0.0,0.485,0.0,1.487,0.0,0.357,0.0,0.347,0.0,0.244,0.0
2009-01-02 19:00:00,2.56,8.6,1.096,0.0,0.461,0.0,1.414,0.0,0.338,0.0,0.328,0.0,0.235,0.0
