start analyze
H = 0.5 ,T = 2.0 ,Deg = 0.0
H = 0.5 ,T = 2.5 ,Deg = 0.0
H = 0.5 ,T = 3.0 ,Deg = 0.0
H = 0.5 ,T = 3.5 ,Deg = 0.0
H = 0.5 ,T = 4.0 ,Deg = 0.0
H = 1.0 ,T = 2.0 ,Deg = 0.0
H = 1.0 ,T = 2.5 ,Deg = 0.0
H = 1.0 ,T = 3.0 ,Deg = 0.0
H = 1.0 ,T = 3.5 ,Deg = 0.0
H = 1.0 ,T = 4.0 ,Deg = 0.0
H = 1.5 ,T = 2.0 ,Deg = 0.0
H = 1.5 ,T = 2.5 ,Deg = 0.0
H = 1.5 ,T = 3.0 ,Deg = 0.0
H = 1.5 ,T = 3.5 ,Deg = 0.0
H = 1.5 ,T = 4.0 ,Deg = 0.0
H = 2.0 ,T = 2.0 ,Deg = 0.0
H = 2.0 ,T = 2.5 ,Deg = 0.0
H = 2.0 ,T = 3.0 ,Deg = 0.0
H = 2.0 ,T = 3.5 ,Deg = 0.0
H = 2.0 ,T = 4.0 ,Deg = 0.0
end analyze
